Epoch: [0][710/2351]	 lr:0.01000	Time 0.417 (0.422)	Loss 0.0402 (0.1126)	Prec@1 90.625 (89.012)	
Epoch: [0][720/2351]	 lr:0.01000	Time 0.417 (0.422)	Loss 0.0492 (0.1117)	Prec@1 90.625 (89.069)	
Epoch: [0][730/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0148 (0.1109)	Prec@1 100.000 (89.112)	
Epoch: [0][740/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.5888 (0.1108)	Prec@1 84.375 (89.153)	
Epoch: [0][750/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0595 (0.1106)	Prec@1 84.375 (89.127)	
Epoch: [0][760/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0864 (0.1102)	Prec@1 87.500 (89.134)	
Epoch: [0][770/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0286 (0.1094)	Prec@1 90.625 (89.190)	
Epoch: [0][780/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0439 (0.1085)	Prec@1 96.875 (89.257)	
Epoch: [0][790/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0474 (0.1078)	Prec@1 90.625 (89.313)	
Epoch: [0][800/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0387 (0.1069)	Prec@1 93.750 (89.392)	
Epoch: [0][810/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0625 (0.1061)	Prec@1 90.625 (89.430)	
Epoch: [0][820/2351]	 lr:0.01000	Time 0.418 (0.422)	Loss 0.0257 (0.1053)	Prec@1 96.875 (89.487)	
Epoch: [0][830/2351]	 lr:0.01000	Time 0.417 (0.422)	Loss 0.0316 (0.1045)	Prec@1 93.750 (89.531)	
Epoch: [0][840/2351]	 lr:0.01000	Time 0.417 (0.422)	Loss 0.0255 (0.1038)	Prec@1 96.875 (89.596)	
Epoch: [0][850/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0805 (0.1031)	Prec@1 90.625 (89.645)	
Epoch: [0][860/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0235 (0.1023)	Prec@1 96.875 (89.703)	
Epoch: [0][870/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.1236 (0.1018)	Prec@1 87.500 (89.739)	
Epoch: [0][880/2351]	 lr:0.01000	Time 0.419 (0.421)	Loss 0.0385 (0.1012)	Prec@1 93.750 (89.774)	
Epoch: [0][890/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0326 (0.1006)	Prec@1 100.000 (89.801)	
Epoch: [0][900/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0312 (0.0999)	Prec@1 96.875 (89.862)	
Epoch: [0][910/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.1085 (0.0995)	Prec@1 87.500 (89.894)	
Epoch: [0][920/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0647 (0.0993)	Prec@1 93.750 (89.929)	
