Epoch: [0][770/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0266 (0.0393)	Prec@1 90.625 (88.023)	
Epoch: [0][780/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0607 (0.0393)	Prec@1 87.500 (88.052)	
Epoch: [0][790/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0760 (0.0393)	Prec@1 81.250 (88.041)	
Epoch: [0][800/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0207 (0.0393)	Prec@1 93.750 (88.050)	
Epoch: [0][810/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0299 (0.0392)	Prec@1 87.500 (88.078)	
Epoch: [0][820/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0275 (0.0391)	Prec@1 93.750 (88.101)	
Epoch: [0][830/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0315 (0.0390)	Prec@1 96.875 (88.136)	
Epoch: [0][840/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0800 (0.0390)	Prec@1 78.125 (88.139)	
Epoch: [0][850/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0349 (0.0389)	Prec@1 90.625 (88.168)	
Epoch: [0][860/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0397 (0.0388)	Prec@1 87.500 (88.193)	
Epoch: [0][870/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0397 (0.0388)	Prec@1 84.375 (88.221)	
Epoch: [0][880/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0141 (0.0386)	Prec@1 100.000 (88.280)	
Epoch: [0][890/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0183 (0.0385)	Prec@1 96.875 (88.282)	
Epoch: [0][900/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0293 (0.0385)	Prec@1 84.375 (88.312)	
Epoch: [0][910/2351]	 lr:0.01000	Time 0.099 (0.101)	Loss 0.0363 (0.0385)	Prec@1 90.625 (88.344)	
Epoch: [0][920/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0099 (0.0384)	Prec@1 100.000 (88.365)	
Epoch: [0][930/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0173 (0.0383)	Prec@1 93.750 (88.403)	
Epoch: [0][940/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0402 (0.0381)	Prec@1 90.625 (88.446)	
Epoch: [0][950/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0471 (0.0379)	Prec@1 84.375 (88.496)	
Epoch: [0][960/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0264 (0.0378)	Prec@1 87.500 (88.534)	
Epoch: [0][970/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0211 (0.0378)	Prec@1 93.750 (88.549)	
Epoch: [0][980/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0393 (0.0378)	Prec@1 93.750 (88.538)	
Epoch: [0][990/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0365 (0.0377)	Prec@1 90.625 (88.585)	
Epoch: [0][1000/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0260 (0.0376)	Prec@1 93.750 (88.624)	
Epoch: [0][1010/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0310 (0.0375)	Prec@1 90.625 (88.659)	
Epoch: [0][1020/2351]	 lr:0.01000	Time 0.103 (0.101)	Loss 0.0665 (0.0375)	Prec@1 87.500 (88.678)	
Epoch: [0][1030/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0419 (0.0374)	Prec@1 90.625 (88.712)	
Epoch: [0][1040/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0177 (0.0372)	Prec@1 93.750 (88.758)	
Epoch: [0][1050/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0201 (0.0371)	Prec@1 93.750 (88.793)	
Epoch: [0][1060/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0233 (0.0370)	Prec@1 93.750 (88.831)	
Epoch: [0][1070/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0406 (0.0370)	Prec@1 93.750 (88.871)	
Epoch: [0][1080/2351]	 lr:0.01000	Time 0.101 (0.101)	Loss 0.0219 (0.0369)	Prec@1 93.750 (88.890)	
Epoch: [0][1090/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0317 (0.0368)	Prec@1 90.625 (88.932)	
Epoch: [0][1100/2351]	 lr:0.01000	Time 0.100 (0.101)	Loss 0.0420 (0.0368)	Prec@1 84.375 (88.928)	
